alt,final_signal,alt_signal,confidence,btc_trend,btc_regime,correlation,is_divergent,reason,rr,target,stop,timestamp
ETH/USDT,WEAK_LONG,STRONG LONG,medium,down,distribution,0.6926252577508974,False,"Контекст BTC (0.70, ув. medium) + сигнал альткоина (0.30)",1.08,4432.262573474409,4198.901428571428,2025-09-02 03:24:22
WLFI/USDT,HOLD,HOLD,low,down,distribution,0.0,True,"Контекст BTC (0.30, ув. medium) + сигнал альткоина (0.70) | R/R < 0.5 (подавлен)",0.0,,,2025-09-02 03:24:22
SOL/USDT,WEAK_LONG,STRONG LONG,medium,down,distribution,0.8142004763392805,False,"Контекст BTC (0.70, ув. medium) + сигнал альткоина (0.30)",1.05,204.16272688714878,191.45642857142857,2025-09-02 03:24:22
XRP/USDT,HOLD,STRONG LONG,low,down,distribution,0.9148505519280801,False,"Контекст BTC (0.70, ув. medium) + сигнал альткоина (0.30)",0.84,2.8171516471276807,2.694257142857143,2025-09-02 03:24:22
DOGE/USDT,HOLD,STRONG LONG,low,down,distribution,0.7582285416205601,False,"Контекст BTC (0.70, ув. medium) + сигнал альткоина (0.30)",0.97,0.21762639438134193,0.20503357142857143,2025-09-02 03:24:22
BNB/USDT,HOLD,STRONG LONG,low,down,distribution,0.6483124793837116,False,"Контекст BTC (0.70, ув. medium) + сигнал альткоина (0.30)",1.32,861.8647816538463,832.5496428571428,2025-09-02 03:24:22
USD1/USDT,HOLD,STRONG LONG,low,down,distribution,0.013415425230253516,True,Дивергенция с BTC: STRONG LONG (корреляция 0.01),0.52,1.0016349986601352,0.9948321428571427,2025-09-02 03:24:22
TRUMP/USDT,HOLD,STRONG LONG,low,down,distribution,0.1169753139739362,True,Дивергенция с BTC: STRONG LONG (корреляция 0.12),0.53,8.556567972573413,7.900357142857143,2025-09-02 03:24:22
ADA/USDT,WEAK_LONG,STRONG LONG,medium,down,distribution,0.8261999496576989,False,"Контекст BTC (0.70, ув. medium) + сигнал альткоина (0.30)",1.14,0.8320821989661559,0.7772607142857143,2025-09-02 03:24:22
LINK/USDT,WEAK_LONG,STRONG LONG,medium,down,distribution,0.7123462498601337,False,"Контекст BTC (0.70, ув. medium) + сигнал альткоина (0.30)",1.4,23.439185146412132,21.741785714285715,2025-09-02 03:24:22
SUI/USDT,HOLD,STRONG LONG,low,down,distribution,0.8731129701430024,False,"Контекст BTC (0.70, ув. medium) + сигнал альткоина (0.30)",0.8,3.29711174460164,3.128307142857143,2025-09-02 03:24:22
TRX/USDT,HOLD,STRONG LONG,low,down,distribution,0.760645692660234,False,"Контекст BTC (0.70, ув. medium) + сигнал альткоина (0.30)",0.8,0.3399220086633759,0.3337928571428571,2025-09-02 03:24:22
PLUME/USDT,HOLD,HOLD,low,down,distribution,0.6304632085122065,False,"Контекст BTC (0.70, ув. medium) + сигнал альткоина (0.30)",1.12,,,2025-09-02 03:24:22
PEPE/USDT,HOLD,HOLD,low,down,distribution,0.6627275648553114,False,"Контекст BTC (0.70, ув. medium) + сигнал альткоина (0.30)",1.17,,,2025-09-02 03:24:22
AVAX/USDT,WEAK_LONG,STRONG LONG,medium,down,distribution,0.8188945218658031,False,"Контекст BTC (0.70, ув. medium) + сигнал альткоина (0.30)",1.28,24.000091649580174,22.485714285714284,2025-09-02 03:24:22
